"Animat","Lifespan","Location x","Location y","Teacher","Reached end"
"Day: 0"
"0","1","9","20","true","false"
"1","1","11","20","true","false"
"2","1","10","19","true","false"
"3","1","11","20","true","false"
"4","1","9","20","true","false"
"5","1","9","20","true","false"
"6","1","11","20","true","false"
"7","1","9","20","true","false"
"8","1","10","19","true","false"
"9","1","11","20","true","false"
"10","1","11","20","true","false"
"11","1","9","20","true","false"
"12","1","9","20","true","false"
"13","1","9","20","true","false"
"14","1","10","19","true","false"
"15","1","11","20","true","false"
"16","1","11","20","true","false"
"17","1","9","20","true","false"
"18","1","11","20","true","false"
"19","1","10","19","true","false"
"20","1","10","19","false","false"
"21","1","11","20","false","false"
"22","1","10","19","false","false"
"23","1","10","19","false","false"
"24","1","11","20","false","false"
"25","1","11","20","false","false"
"26","1","11","20","false","false"
"27","1","9","20","false","false"
"28","1","9","20","false","false"
"29","1","9","20","false","false"
"30","1","11","20","false","false"
"31","1","11","20","false","false"
"32","1","10","19","false","false"
"33","1","11","20","false","false"
"34","1","10","19","false","false"
"35","1","11","20","false","false"
"36","1","10","19","false","false"
"37","1","11","20","false","false"
"38","1","9","20","false","false"
"39","1","9","20","false","false"
"40","1","10","19","false","false"
"41","1","11","20","false","false"
"42","1","10","19","false","false"
"43","1","10","19","false","false"
"44","1","10","19","false","false"
"45","1","11","20","false","false"
"46","1","9","20","false","false"
"47","1","11","20","false","false"
"48","1","9","20","false","false"
"49","1","10","19","false","false"
"50","1","9","20","false","false"
"51","1","10","19","false","false"
"52","1","10","19","false","false"
"53","1","10","19","false","false"
"54","1","10","19","false","false"
"55","1","9","20","false","false"
"56","1","9","20","false","false"
"57","1","10","19","false","false"
"58","1","11","20","false","false"
"59","1","10","19","false","false"
"60","1","10","19","false","false"
"61","1","10","19","false","false"
"62","1","9","20","false","false"
"63","1","10","19","false","false"
"64","1","9","20","false","false"
"65","1","9","20","false","false"
"66","1","11","20","false","false"
"67","1","10","19","false","false"
"68","1","9","20","false","false"
"69","1","9","20","false","false"
"70","1","11","20","false","false"
"71","1","11","20","false","false"
"72","1","9","20","false","false"
"73","1","10","19","false","false"
"74","1","10","19","false","false"
"75","1","11","20","false","false"
"76","1","11","20","false","false"
"77","1","11","20","false","false"
"78","1","10","19","false","false"
"79","1","11","20","false","false"
"80","1","10","19","false","false"
"81","1","11","20","false","false"
"82","1","10","19","false","false"
"83","1","10","19","false","false"
"84","1","9","20","false","false"
"85","1","11","20","false","false"
"86","1","9","20","false","false"
"87","1","10","19","false","false"
"88","1","11","20","false","false"
"89","1","10","19","false","false"
"90","1","10","19","false","false"
"91","1","9","20","false","false"
"92","1","9","20","false","false"
"93","1","9","20","false","false"
"94","1","11","20","false","false"
"95","1","11","20","false","false"
"96","1","10","19","false","false"
"97","1","9","20","false","false"
"98","1","10","19","false","false"
"99","1","9","20","false","false"
"100","1","9","20","false","false"
"Day: 1"
"0","2","10","20","true","false"
"1","2","11","19","true","false"
"2","2","9","19","true","false"
"3","2","11","19","true","false"
"4","2","10","20","true","false"
"5","2","10","20","true","false"
"6","2","11","19","true","false"
"7","2","9","19","true","false"
"8","2","9","19","true","false"
"9","2","12","20","true","false"
"10","2","12","20","true","false"
"11","2","10","20","true","false"
"12","2","10","20","true","false"
"13","2","9","19","true","false"
"14","2","11","19","true","false"
"15","2","10","20","true","false"
"16","2","10","20","true","false"
"17","2","8","20","true","false"
"18","2","10","20","true","false"
"19","2","10","18","true","false"
"20","2","9","19","false","false"
"21","2","11","19","false","false"
"22","2","9","19","false","false"
"23","2","9","19","false","false"
"24","2","11","19","false","false"
"25","2","10","20","false","false"
"26","2","12","20","false","false"
"27","2","10","20","false","false"
"28","2","9","19","false","false"
"29","2","10","20","false","false"
"30","2","12","20","false","false"
"31","2","12","20","false","false"
"32","2","9","19","false","false"
"33","2","12","20","false","false"
"34","2","9","19","false","false"
"35","2","12","20","false","false"
"36","2","10","18","false","false"
"37","2","12","20","false","false"
"38","2","10","20","false","false"
"39","2","10","20","false","false"
"40","2","11","19","false","false"
"41","2","10","20","false","false"
"42","2","11","19","false","false"
"43","2","10","18","false","false"
"44","2","10","18","false","false"
"45","2","11","19","false","false"
"46","2","9","19","false","false"
"47","2","11","19","false","false"
"48","2","9","19","false","false"
"49","2","11","19","false","false"
"50","2","9","19","false","false"
"51","2","9","19","false","false"
"52","2","11","19","false","false"
"53","2","9","19","false","false"
"54","2","9","19","false","false"
"55","2","8","20","false","false"
"56","2","8","20","false","false"
"57","2","10","18","false","false"
"58","2","12","20","false","false"
"59","2","11","19","false","false"
"60","2","10","18","false","false"
"61","2","10","18","false","false"
"62","2","9","19","false","false"
"63","2","10","18","false","false"
"64","2","9","19","false","false"
"65","2","8","20","false","false"
"66","2","10","20","false","false"
"67","2","11","19","false","false"
"68","2","10","20","false","false"
"69","2","10","20","false","false"
"70","2","10","20","false","false"
"71","2","11","19","false","false"
"72","2","10","20","false","false"
"73","2","9","19","false","false"
"74","2","9","19","false","false"
"75","2","10","20","false","false"
"76","2","10","20","false","false"
"77","2","11","19","false","false"
"78","2","10","18","false","false"
"79","2","11","19","false","false"
"80","2","11","19","false","false"
"81","2","12","20","false","false"
"82","2","11","19","false","false"
"83","2","9","19","false","false"
"84","2","10","20","false","false"
"85","2","11","19","false","false"
"86","2","9","19","false","false"
"87","2","10","18","false","false"
"88","2","11","19","false","false"
"89","2","10","18","false","false"
"90","2","11","19","false","false"
"91","2","8","20","false","false"
"92","2","10","20","false","false"
"93","2","8","20","false","false"
"94","2","12","20","false","false"
"95","2","10","20","false","false"
"96","2","9","19","false","false"
"97","2","10","20","false","false"
"98","2","9","19","false","false"
"99","2","10","20","false","false"
"100","2","9","19","false","false"
"Day: 2"
"0","3","9","20","true","false"
"1","3","10","19","true","false"
"2","3","10","19","true","false"
"3","3","10","19","true","false"
"4","3","10","19","true","false"
"5","3","9","20","true","false"
"6","3","12","19","true","false"
"7","3","10","19","true","false"
"8","3","8","19","true","false"
"9","3","13","20","true","false"
"10","3","13","20","true","false"
"11","3","9","20","true","false"
"12","3","10","19","true","false"
"13","3","9","18","true","false"
"14","3","12","19","true","false"
"15","3","10","19","true","false"
"16","3","11","20","true","false"
"17","3","9","20","true","false"
"18","3","11","20","true","false"
"19","3","9","18","true","false"
"20","3","10","19","false","false"
"21","3","10","19","false","false"
"22","3","9","18","false","false"
"23","3","9","18","false","false"
"24","3","10","19","false","false"
"25","3","9","20","false","false"
"26","3","13","20","false","false"
"27","3","10","19","false","false"
"28","3","8","19","false","false"
"29","3","9","20","false","false"
"30","3","12","19","false","false"
"31","3","13","20","false","false"
"32","3","10","19","false","false"
"33","3","12","19","false","false"
"34","3","8","19","false","false"
"35","3","12","19","false","false"
"36","3","10","17","false","false"
"37","3","13","20","false","false"
"38","3","10","19","false","false"
"39","3","9","20","false","false"
"40","3","11","18","false","false"
"41","3","9","20","false","false"
"42","3","11","18","false","false"
"43","3","10","17","false","false"
"44","3","10","17","false","false"
"45","3","10","19","false","false"
"46","3","9","18","false","false"
"47","3","10","19","false","false"
"48","3","8","19","false","false"
"49","3","11","18","false","false"
"50","3","10","19","false","false"
"51","3","9","18","false","false"
"52","3","11","18","false","false"
"53","3","8","19","false","false"
"54","3","10","19","false","false"
"55","3","9","20","false","false"
"56","3","8","19","false","false"
"57","3","11","18","false","false"
"58","3","11","20","false","false"
"59","3","11","18","false","false"
"60","3","9","18","false","false"
"61","3","9","18","false","false"
"62","3","8","19","false","false"
"63","3","10","17","false","false"
"64","3","10","19","false","false"
"65","3","8","19","false","false"
"66","3","11","20","false","false"
"67","3","11","18","false","false"
"68","3","9","20","false","false"
"69","3","9","20","false","false"
"70","3","11","20","false","false"
"71","3","10","19","false","false"
"72","3","10","19","false","false"
"73","3","9","18","false","false"
"74","3","10","19","false","false"
"75","3","10","19","false","false"
"76","3","10","19","false","false"
"77","3","12","19","false","false"
"78","3","11","18","false","false"
"79","3","10","19","false","false"
"80","3","12","19","false","false"
"81","3","13","20","false","false"
"82","3","11","18","false","false"
"83","3","10","19","false","false"
"84","3","10","19","false","false"
"85","3","11","18","false","false"
"86","3","9","18","false","false"
"87","3","9","18","false","false"
"88","3","10","19","false","false"
"89","3","10","17","false","false"
"90","3","11","18","false","false"
"91","3","8","19","false","false"
"92","3","10","19","false","false"
"93","3","7","20","false","false"
"94","3","11","20","false","false"
"95","3","10","19","false","false"
"96","3","10","19","false","false"
